name,phone
Alice,0764443431
Charlie,0724414101
David,0796606293
Eve,0748409244
Frank,0762253160
Grace,0756084215
Heidi,0737432064
Ivan,0785562599
Judy,0722227649
Mallory,0741268924
Niaj,0734621034
Olivia,0717473969
Peggy,0760064311
Rupert,0795608825
Sybil,0790487360
Trent,0756227834
Victor,0770145241
Walter,0752861222
Xavier,0702626243
Yvonne,0722751293
Zara,0781226848
Liam,0755435453
Emma,0748536270
Noah,0736750859
Mia,0714646432
William,0701823756
Ava,0776773753
James,0792805821
Isabella,0780537056
Oliver,0770209024
Sophia,0718686669
Benjamin,0758585150
Amelia,0734032567
Elijah,0740960556
Charlotte,0761548053
Lucas,0796813506
Harper,0782403913
Mason,0723628071
Evelyn,0747934217
Logan,0717308969
Aria,0752827549
Alexander,0798945720
Ella,0707868158
Ethan,0774765108
Avery,0711982397
Jacob,0704298262
Abigail,0781804252
Michael,0719260578
Daniel,0743100995
